indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
Full-time workers earning a living wage,Living wage,2013-17,Ward 4,26905.183435,34298.168052,0.7844495774,over $35K,more,full-time workers,"more full-time workers in Ward 4 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 4 than in"
Full-time workers earning a living wage,Living wage,2013-17,Ward 5,24208.546263,31020.047704,0.780416152,over $35K,more,full-time workers,"more full-time workers in Ward 5 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 5 than in"
Full-time workers earning a living wage,Living wage,2013-17,Ward 6,42738.32933,47772.423156,0.8946234356,over $35K,more,full-time workers,"more full-time workers in Ward 6 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 6 than in"
Full-time workers earning a living wage,Living wage,2013-17,Ward 7,14506.16875,22789.587374,0.6365261692,over $35K,more,full-time workers,"more full-time workers in Ward 7 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 7 than in"
Full-time workers earning a living wage,Living wage,2013-17,Ward 8,12865.261768,21035.208266,0.6116061037,over $35K,more,full-time workers,"more full-time workers in Ward 8 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 8 than in"
Homeownership rate,Homeownership,2013-17,Ward 1,12910.423339,35612.215279,0.3625279483,homeowners,more,households,more households in Ward 1 would own their own homes.,A higher share of households own their own homes in Ward 1 than in
Homeownership rate,Homeownership,2013-17,Ward 2,13513.852151,37743.314036,0.3580462526,homeowners,more,households,more households in Ward 2 would own their own homes.,A higher share of households own their own homes in Ward 2 than in
Homeownership rate,Homeownership,2013-17,Ward 3,20733.738303,37908.782737,0.5469375909,homeowners,more,households,more households in Ward 3 would own their own homes.,A higher share of households own their own homes in Ward 3 than in
Homeownership rate,Homeownership,2013-17,Ward 4,18087.026978,30795.15758,0.5873334771,homeowners,more,households,more households in Ward 4 would own their own homes.,A higher share of households own their own homes in Ward 4 than in
Homeownership rate,Homeownership,2013-17,Ward 5,15488.073134,33406.962164,0.4636181242,homeowners,more,households,more households in Ward 5 would own their own homes.,A higher share of households own their own homes in Ward 5 than in
Homeownership rate,Homeownership,2013-17,Ward 6,17243.180372,42434.862482,0.4063446743,homeowners,more,households,more households in Ward 6 would own their own homes.,A higher share of households own their own homes in Ward 6 than in
Homeownership rate,Homeownership,2013-17,Ward 7,11611.34338,30121.671279,0.3854813789,homeowners,more,households,more households in Ward 7 would own their own homes.,A higher share of households own their own homes in Ward 7 than in
Homeownership rate,Homeownership,2013-17,Ward 8,6207.3623421,29962.034443,0.2071742609,homeowners,more,households,more households in Ward 8 would own their own homes.,A higher share of households own their own homes in Ward 8 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 1,40269.827488,54659.288745,0.736742618,commute under 45 minutes,more,workers,more workers in Ward 1 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 1 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 2,38386.029387,50140.31693,0.7655721331,commute under 45 minutes,more,workers,more workers in Ward 2 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 2 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 3,35558.655473,48731.100252,0.7296912093,commute under 45 minutes,more,workers,more workers in Ward 3 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 3 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 4,29786.632029,43395.106069,0.6864053283,commute under 45 minutes,more,workers,more workers in Ward 4 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 4 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 5,28378.240448,41651.913977,0.6813190017,commute under 45 minutes,more,workers,more workers in Ward 5 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 5 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 6,43242.920352,57760.015171,0.7486653219,commute under 45 minutes,more,workers,more workers in Ward 6 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 6 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 7,19948.43627,29591.656559,0.674123675,commute under 45 minutes,more,workers,more workers in Ward 7 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 7 than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,Ward 8,17221.258553,28728.602296,0.5994464463,commute under 45 minutes,more,workers,more workers in Ward 8 would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in Ward 8 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 1,12044.725412,34747.129219,0.3466394399,with cost burden,fewer,households,fewer households in Ward 1 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 1 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 2,12936.465528,36391.252505,0.3554828328,with cost burden,fewer,households,fewer households in Ward 2 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 2 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 3,11378.329504,36932.49481,0.3080845083,with cost burden,fewer,households,fewer households in Ward 3 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 3 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 4,10331.393903,29976.717287,0.3446472742,with cost burden,fewer,households,fewer households in Ward 4 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 4 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 5,12798.77564,32150.392378,0.3980908068,with cost burden,fewer,households,fewer households in Ward 5 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 5 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 6,13112.353608,41297.308079,0.3175110974,with cost burden,fewer,households,fewer households in Ward 6 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 6 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 7,12487.973625,27935.997341,0.4470208625,with cost burden,fewer,households,fewer households in Ward 7 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 7 than in
Households with a housing cost burden,Housing cost burden,2013-17,Ward 8,15401.982778,27754.708381,0.5549322503,with cost burden,fewer,households,fewer households in Ward 8 would be housing-cost burdened.,A lower share of households are housing-cost burdened in Ward 8 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 1,429,74462,5.7613279257,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 1 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 2,364,76883,4.7344666571,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 2 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 3,73,78887,0.9253742695,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 3 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 4,352,75773,4.6454541855,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 4 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 5,681,74308,9.1645583248,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 5 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 6,472,76000,6.2105263158,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 6 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 7,923,71748,12.86447009,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 7 than in
"Violent crimes per 1,000 population",Violent crime,2017,Ward 8,875,73662,11.878580544,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in Ward 8 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 1,686,1074,0.6387337058,received adequate prenatal care,more,births,more mothers in Ward 1 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 1 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 2,460,625,0.736,received adequate prenatal care,more,births,more mothers in Ward 2 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 2 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 3,637,770,0.8272727273,received adequate prenatal care,more,births,more mothers in Ward 3 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 3 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 4,890,1508,0.5901856764,received adequate prenatal care,more,births,more mothers in Ward 4 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 4 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 5,748,1249,0.5988791033,received adequate prenatal care,more,births,more mothers in Ward 5 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 5 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 6,934,1353,0.6903178123,received adequate prenatal care,more,births,more mothers in Ward 6 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 6 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 7,543,1228,0.4421824104,received adequate prenatal care,more,births,more mothers in Ward 7 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 7 than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,Ward 8,631,1531,0.4121489223,received adequate prenatal care,more,births,more mothers in Ward 8 would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in Ward 8 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 1,38,881,0.0431328036,affordable homes sold,more,homes sold,more homes sold in Ward 1 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 1 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 2,113,1200,0.0941666667,affordable homes sold,more,homes sold,more homes sold in Ward 2 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 2 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 3,128,950,0.1347368421,affordable homes sold,more,homes sold,more homes sold in Ward 3 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 3 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 4,35,940,0.0372340426,affordable homes sold,more,homes sold,more homes sold in Ward 4 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 4 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 5,58,1032,0.0562015504,affordable homes sold,more,homes sold,more homes sold in Ward 5 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 5 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 6,59,1187,0.049705139,affordable homes sold,more,homes sold,more homes sold in Ward 6 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 6 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 7,157,538,0.2918215613,affordable homes sold,more,homes sold,more homes sold in Ward 7 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 7 than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,Ward 8,91,329,0.2765957447,affordable homes sold,more,homes sold,more homes sold in Ward 8 would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in Ward 8 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 1,44954.860122,64102.353608,0.7012981208,with degree,more,adults,more adults in Ward 1 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 1 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 2,46500.513428,54091.48278,0.8596642399,with degree,more,adults,more adults in Ward 2 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 2 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 3,54183.657192,61104.942573,0.8867311695,with degree,more,adults,more adults in Ward 3 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 3 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 4,33387.934658,62849.622324,0.5312352473,with degree,more,adults,more adults in Ward 4 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 4 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 5,29352.461469,61728.410722,0.4755097552,with degree,more,adults,more adults in Ward 5 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 5 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 6,54168.949154,71699.621236,0.7554984004,with degree,more,adults,more adults in Ward 6 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 6 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 7,12055.949811,52681.976172,0.2288439175,with degree,more,adults,more adults in Ward 7 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 7 than in
Adults with a postsecondary degree,Postsecondary education,2013-17,Ward 8,10419.674168,49584.590586,0.2101393607,with degree,more,adults,more adults in Ward 8 would have postsecondary degrees.,A higher share of people have postsecondary degrees in Ward 8 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 1,31220196.01,7460.414431,4184.7803898,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 1 .,More money is lent to small businesses per employee in Ward 1 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 2,272453901.41,57341.434862,4751.4315271,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 2 .,More money is lent to small businesses per employee in Ward 2 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 3,61815420.404,10292.61129,6005.805394,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 3 .,More money is lent to small businesses per employee in Ward 3 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 4,31263938.96,4783.4039513,6535.9186216,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 4 .,More money is lent to small businesses per employee in Ward 4 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 5,41153473.461,7042.096418,5843.9236015,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 5 .,More money is lent to small businesses per employee in Ward 5 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 6,58512272.484,13679.496813,4277.3702339,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 6 .,More money is lent to small businesses per employee in Ward 6 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 7,5426130.877,1592.5541746,3407.1876256,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 7 .,More money is lent to small businesses per employee in Ward 7 than in
Small-business lending per employee,Small-business lending,2014–16,Ward 8,8327331.5195,2244.9880597,3709.2988016,per employee,more in loans,n/a,more would be lent to small businesses annually in Ward 8 .,More money is lent to small businesses per employee in Ward 8 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 1,83028.65967,83028.65967,1,near a grocery store,more,people,more people in Ward 1 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 1 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 2,76613.682876,76636.939369,0.9996965368,near a grocery store,more,people,more people in Ward 2 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 2 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 3,76710.918223,83138.717511,0.9226858499,near a grocery store,more,people,more people in Ward 3 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 3 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 4,80387.987343,84182.998602,0.9549195049,near a grocery store,more,people,more people in Ward 4 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 4 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 5,83770.667744,85520.282288,0.9795415252,near a grocery store,more,people,more people in Ward 5 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 5 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 6,87178.61028,87553.952969,0.9957130126,near a grocery store,more,people,more people in Ward 6 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 6 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 7,57009.260428,75847.584475,0.7516292157,near a grocery store,more,people,more people in Ward 7 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 7 than in
People who live within one mile of a major grocery store,Grocery stores,2017,Ward 8,46312.242399,83099.865116,0.557308274,near a grocery store,more,people,more people in Ward 8 would have a grocery store nearby.,A higher share of people have a grocery store nearby in Ward 8 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 1,83006.473407,83028.65967,0.9997327879,near a branch,more,people,more people in Ward 1 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 1 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 2,76585.240518,76636.939369,0.9993254056,near a branch,more,people,more people in Ward 2 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 2 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 3,82220.4759,83138.717511,0.988955307,near a branch,more,people,more people in Ward 3 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 3 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 4,76771.998602,84182.998602,0.9119655973,near a branch,more,people,more people in Ward 4 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 4 than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,Ward 5,78995.177243,85520.282288,0.9237010815,near a branch,more,people,more people in Ward 5 would have access to a retail bank location.,A higher share of people have access to a retail bank location in Ward 5 than in
